Date,Open,High,Low,Close,Dunno,LogReturn,SquaredReturn,GARCH_Vol,GARCH_Mean,Symbol
2000-01-04,1455.219971,1455.219971,1397.430054,1399.420044,1399.420044,-0.03909917550586638,0.0015287455252385417,0.009594994496267996,0,S&P
2000-01-05,1399.420044,1413.27002,1377.680054,1402.109985,1402.109985,0.0019203376717690415,3.687696773615343e-06,0.033583640218081245,0,S&P
2000-01-06,1402.109985,1411.900024,1392.099976,1403.449951,1403.449951,0.0009552218683290303,9.124488177340034e-07,0.02260347597642602,0,S&P
2000-01-07,1403.449951,1441.469971,1400.72998,1441.469971,1441.469971,0.02672995005828958,0.0007144902301186552,0.014344296267695978,0,S&P
2000-01-10,1441.469971,1464.359985,1441.469971,1457.599976,1457.599976,0.011127824951257899,0.00012382848814583786,0.02086978094810208,0,S&P
2000-01-11,1457.599976,1458.660034,1434.420044,1438.560059,1438.560059,-0.013148576790573768,0.00017288507161761517,0.017621672980823268,0,S&P
2000-01-12,1438.560059,1442.599976,1427.079956,1432.25,1432.25,-0.004396019961010188,1.9324991497600016e-05,0.015963486048254018,0,S&P
2000-01-13,1432.25,1454.199951,1432.25,1449.680054,1449.680054,0.012096245364814217,0.00014631915192578945,0.01300459668580771,0,S&P
2000-01-14,1449.680054,1473.0,1449.680054,1465.150024,1465.150024,0.010614763015335722,0.0001126731938717391,0.012443716212120157,0,S&P
2000-01-18,1465.150024,1465.150024,1451.300049,1455.140015,1455.140015,-0.006855516452527174,4.6998105830870766e-05,0.01166449287508343,0,S&P
2000-01-19,1455.140015,1461.390015,1448.680054,1455.900024,1455.900024,0.0005221563476186428,2.72647251358441e-07,0.010318911368512027,0,S&P
2000-01-20,1455.900024,1465.709961,1438.540039,1445.569946,1445.569946,-0.007120612485422565,5.070312216755572e-05,0.00861726270968744,0,S&P
2000-01-21,1445.569946,1453.180054,1439.599976,1441.359985,1441.359985,-0.002916568177899514,8.506369936336092e-06,0.007984092683008061,0,S&P
2000-01-24,1441.359985,1454.089966,1395.420044,1401.530029,1401.530029,-0.028022584196370916,0.000785265225042697,0.006855280326632509,0,S&P
2000-01-25,1401.530029,1414.26001,1388.48999,1410.030029,1410.030029,0.0060464836043173315,3.655996397727831e-05,0.013360219191281733,0,S&P
2000-01-26,1410.030029,1412.72998,1400.160034,1404.089966,1404.089966,-0.004221619428147993,1.782207059611659e-05,0.012476789897675753,0,S&P
2000-01-27,1404.089966,1418.859985,1370.98999,1398.560059,1398.560059,-0.003946203861979626,1.5572524920302916e-05,0.011211118998111032,0,S&P
2000-01-28,1398.560059,1398.560059,1356.199951,1360.160034,1360.160034,-0.027840813152317945,0.0007751108769822798,0.010158430334394746,0,S&P
