,feat_0,feat_1,Date,Symbol,Return
3082,-9.032238,-9.07546,2017-05-15,AAPL,-0.0025657488
3083,-8.870247,-8.990606,2017-05-16,AAPL,-0.0014782919
3084,-9.099631,-9.057055,2017-05-17,AAPL,-0.034152213
3085,-8.407554,-8.650629,2017-05-18,AAPL,0.015126283
3086,-8.672075,-8.723854,2017-05-19,AAPL,0.0034031447
3087,-8.985534,-8.856583,2017-05-22,AAPL,0.006057664
3088,-9.12265,-8.952702,2017-05-23,AAPL,-0.0012346081
3089,-9.166415,-8.926294,2017-05-24,AAPL,-0.002995379
3090,-9.220255,-9.007952,2017-05-25,AAPL,0.0034504118
3091,-9.283409,-9.064889,2017-05-26,AAPL,-0.0016911674
3092,-9.466947,-9.170486,2017-05-30,AAPL,0.00039052332
3093,-9.230028,-9.16346,2017-05-31,AAPL,-0.0059393835
3094,-9.184491,-9.042638,2017-06-01,AAPL,0.0027456381
3095,-9.2722025,-9.13329,2017-06-02,AAPL,0.014710436
3096,-9.212546,-9.16346,2017-06-05,AAPL,-0.009826183
3097,-9.094037,-9.10943,2017-06-06,AAPL,0.0033724657
3098,-9.09844,-9.084786,2017-06-07,AAPL,0.0059389495
3099,-9.058456,-9.127117,2017-06-08,AAPL,-0.0024487705
3100,-9.1887245,-9.125789,2017-06-09,AAPL,-0.03954853
3101,-8.096327,-8.564605,2017-06-12,AAPL,-0.024185961
3102,-8.216512,-8.60357,2017-06-13,AAPL,0.008013467
3103,-8.758028,-8.923782,2017-06-14,AAPL,-0.0098029915
3104,-8.738528,-8.849733,2017-06-15,AAPL,-0.006011419
3105,-8.669671,-8.795558,2017-06-16,AAPL,-0.014098503
3106,-8.734155,-8.807265,2017-06-19,AAPL,0.02820602
3107,-8.813661,-8.938134,2017-06-20,AAPL,-0.009129976
3108,-8.90769,-8.989478,2017-06-21,AAPL,0.0059131086
3109,-8.98272,-8.977443,2017-06-22,AAPL,-0.0016466556
3110,-9.04542,-8.630258,2017-06-23,AAPL,0.0044534346
3111,-9.362986,-8.659027,2017-06-26,AAPL,-0.0031496088
3112,-9.022695,-8.57494,2017-06-27,AAPL,-0.014436445
3113,-8.933193,-8.436264,2017-06-28,AAPL,0.01450502
3114,-9.241256,-8.50892,2017-06-29,AAPL,-0.014852955
3115,-8.860599,-8.412028,2017-06-30,AAPL,0.0023635742
