,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MDN 3,LSTM MDN rv-data,LSTM MDN rv-data-2,LSTM MDN rv-data-3,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything,Winner
PICP,0.9804780876494024,0.9875166002656043,0.9948207171314741,0.9889110225763612,0.9796148738379814,0.9891766268260292,0.9873609012226954,0.9902459129001236,0.9864679214177772,0.9858565737051793,0.9815405046480744,0.9835325365205844,0.9839973439575033,0.983308146723451,LSTM MDN rv-data-2
PICP Miss,0.009521912350597628,0.002483399734395708,-0.004820717131474139,0.0010889774236387817,0.010385126162018588,0.0008233731739707428,0.002639098777304616,-0.0002459129001236571,0.0035320785822228196,0.0041434262948206735,0.008459495351925583,0.006467463479415625,0.0060026560424967235,0.006691853276548976,LSTM MDN rv-data-2
Mean width (MPIW),0.08805316547158408,0.09783587651116984,0.12858489997546427,0.10334557981674326,0.0873790703007671,0.10231816944917271,0.09653151997517688,0.10409147062430106,0.09373381393454291,0.09393457727380593,0.09292020415441973,0.0917943021229245,0.08972104394557419,0.08731903073325005,Ensemble of everything
Interval Score,0.14981271192237094,0.13943327686405216,0.1466733550406923,0.13846988295499604,0.14918647225881562,0.1389171428591414,0.13789104733940105,0.13632366632599902,0.13827608965177116,0.14152857620032414,0.15036395142227582,0.1473284851141708,0.14361302528457034,0.14353035456831695,LSTM MDN rv-data-2
Correlation (vol. vs. errors),0.290785208742048,0.32680061346031714,0.31820597649470544,0.3270723419932221,0.30392698731623496,0.3274138455115472,0.33774636723359575,0.34589679540360474,0.3499653407385463,0.3334357408351546,0.3527882022242648,0.3345153314932933,0.3308411037208026,0.3450504601865395,LSTM MAF v3
NLL,-2.7030404609542478,-2.5935215189482976,-2.590202372237445,-2.5935009287508146,-2.5522656758570994,-2.7664210982952677,-2.7715342407430725,-2.7783275056257537,-2.780379026324552,-2.2062300981824015,-2.1103188644066995,-2.348306861682084,-2.3998758085653495,-2.5409069999682363,LSTM MDN rv-data-3
QL,-0.031715745786546665,-0.03647413300680794,-0.050971472394361256,-0.03909744643626021,-0.031160341872325983,-0.0382186059934709,-0.035875228164950236,-0.03959125345499198,-0.03437055263921957,-0.0345884810276722,-0.03286595190737684,-0.033164180433313054,-0.03252495454726275,-0.031326631245563084,LSTM MDN embedded-small
CRPS,,,,,,0.004801001005980744,0.0047772774596339775,0.0043094502066396345,0.0041128152661039545,,,,,,LSTM MDN rv-data-3
Lopez Loss,0.010564588158713093,0.006113421000581445,0.0021928544363734146,0.005050246173426733,0.009766950686906086,0.004518761129852438,0.006046780452448484,0.004518728162788126,0.005914143168365798,0.007641678601887741,0.010498159589241262,0.010365427710173823,0.009036756887288952,0.008771214430897241,LSTM MDN dynamic
RMSE,0.017386700625418628,0.01739250181375318,0.017370451522466298,0.017407266419345962,0.017532793840804785,0.017385021713320258,0.017418948665394337,0.017413102235892236,0.017415557120103675,0.017498262724508936,0.01912365723035617,0.017958706108851835,0.017426291767510208,0.017458238949442276,LSTM MDN dynamic
Sign accuracy,0.003054448871181939,0.5136122177954847,0.5205843293492696,0.5096281540504648,0.500996015936255,0.5099601593625498,0.4934926958831341,0.49050464807436917,0.49017264276228417,0.500996015936255,0.5108897742363878,0.5044488711819389,0.5129482071713147,0.498207171314741,LSTM MDN dynamic
UC Pass %,56.666666666666664,89.65517241379311,81.48148148148148,96.55172413793103,53.333333333333336,90.0,79.3103448275862,96.42857142857143,82.75862068965517,86.66666666666667,60.0,70.0,76.66666666666667,68.96551724137932,LSTM MDN l2
Ind Pass %,100.0,100.0,100.0,100.0,62.5,66.66666666666666,100.0,100.0,100.0,60.0,100.0,50.0,60.0,80.0,GARCH
CC Pass %,100.0,100.0,100.0,100.0,37.5,66.66666666666666,100.0,100.0,100.0,40.0,75.0,50.0,40.0,60.0,GARCH
CHR Pass %,66.66666666666666,100.0,100.0,100.0,12.5,66.66666666666666,100.0,100.0,50.0,40.0,75.0,25.0,40.0,40.0,LSTM MDN pireg
